Sample_No,Date,Sample_Point,Town,Measure,Result,Units
638433,2069-01-01,ME_12236,Merton,Chlorine Total,0.59,mg/L
603998,2069-01-01,ME_15385,Merton,Chlorine Total,0.18,mg/L
603431,2069-01-01,ME_15385,Merton,E. coli,0,Orgs/100mL
617355,2069-01-01,ME_12236,Merton,E. coli,0,Orgs/100mL
618742,2069-01-03,SW_14121,Swadlincote,Chlorine Total,0.38,mg/L
663362,2069-01-03,SN_11009,Snake's Canyon,Chlorine Total,0.08,mg/L
665782,2069-01-03,ME_15385,Merton,Chlorine Total,0.025,mg/L
666605,2069-01-03,SO_13252,Southwold,Chlorine Total,0.025,mg/L
651550,2069-01-03,TA_18683,Tarnstead,Chlorine Total,0.025,mg/L
650279,2069-01-03,WA_10539,Wakefield,Chlorine Total,0.025,mg/L
620121,2069-01-03,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
627981,2069-01-03,ME_15385,Merton,E. coli,0,Orgs/100mL
659147,2069-01-03,SO_13252,Southwold,E. coli,0,Orgs/100mL
687103,2069-01-03,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
658098,2069-01-03,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
670948,2069-01-03,WA_10539,Wakefield,E. coli,0,Orgs/100mL
618816,2069-01-03,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
618060,2069-01-03,ME_15385,Merton,Turbidity,0.2,NTU
679923,2069-01-03,TA_18683,Tarnstead,Turbidity,0.2,NTU
635529,2069-01-03,SW_14121,Swadlincote,Turbidity,0.2,NTU
617081,2069-01-03,SO_13252,Southwold,Turbidity,0.1,NTU
673777,2069-01-03,WA_10539,Wakefield,Turbidity,0.1,NTU
638670,2069-01-05,BL_15407,Blancathey,Chlorine Total,0.5,mg/L
642549,2069-01-05,BL_15407,Blancathey,E. coli,0,Orgs/100mL
676430,2069-01-05,BL_15407,Blancathey,Turbidity,2.24,NTU
626706,2069-01-09,WA_17036,Wakefield,Chlorine Total,0.77,mg/L
687205,2069-01-09,WA_19229,Wakefield,Chlorine Total,0.52,mg/L
621764,2069-01-09,TA_18370,Tarnstead,Chlorine Total,0.13,mg/L
660638,2069-01-09,SW_15541,Swadlincote,Chlorine Total,0.08,mg/L
604923,2069-01-09,ME_12236,Merton,Chlorine Total,0.05,mg/L
615243,2069-01-09,SN_19642,Snake's Canyon,Chlorine Total,0.025,mg/L
628847,2069-01-09,SO_12771,Southwold,Chlorine Total,0.025,mg/L
625061,2069-01-09,ME_12236,Merton,E. coli,0,Orgs/100mL
601108,2069-01-09,WA_17036,Wakefield,E. coli,0,Orgs/100mL
609705,2069-01-09,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
699743,2069-01-09,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
672881,2069-01-09,SO_12771,Southwold,E. coli,0,Orgs/100mL
694699,2069-01-09,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
682243,2069-01-09,WA_19229,Wakefield,E. coli,0,Orgs/100mL
668985,2069-01-09,TA_18370,Tarnstead,Turbidity,4.99,NTU
653828,2069-01-09,ME_12236,Merton,Turbidity,0.2,NTU
666493,2069-01-09,WA_17036,Wakefield,Turbidity,0.2,NTU
683496,2069-01-09,SN_19642,Snake's Canyon,Turbidity,0.2,NTU
609805,2069-01-09,SW_15541,Swadlincote,Turbidity,0.2,NTU
604699,2069-01-09,SO_12771,Southwold,Turbidity,0.2,NTU
688728,2069-01-11,BL_15694,Blancathey,Chlorine Total,0.76,mg/L
639865,2069-01-11,BL_15694,Blancathey,E. coli,0,Orgs/100mL
608188,2069-01-11,BL_15694,Blancathey,THM,0.003,mg/L
616121,2069-01-11,BL_15694,Blancathey,Turbidity,0.2,NTU
603742,2069-01-16,WA_15863,Wakefield,Chlorine Total,0.24,mg/L
665981,2069-01-16,SW_17608,Swadlincote,Chlorine Total,0.15,mg/L
658522,2069-01-16,TA_15138,Tarnstead,Chlorine Total,0.06,mg/L
638852,2069-01-16,ME_19428,Merton,Chlorine Total,0.025,mg/L
662835,2069-01-16,SO_12411,Southwold,Chlorine Total,0.025,mg/L
