V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,marketing,engineer,department,e1,e2,e3,e4,e5,e6,e7,e8,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,consent,marketing,engineer,department,EMINT-Customer service takes a short-term view and engineering a long-term view.,EMINT-It is difficult for engineers to communicate effectively with customer service staff.,EMINT-Engineers and customer service staff cannot trust each other.,EMINT-Engineers and customer service staff have different values.,EMINT-Engineers and customer service staff do not understand each other.,EMINT-Friction between engineers and customer service staff is healthy.,EMINT-All engineers should know something about customer service.,EMINT-Engineers are more important to a water utility than customer service staff.,PROOR-Customers that cannot pay their bill have the wrong financial priorities.,PROOR-Financial management is more important than the needs of individual customers that cannot afford water bills.,PROOR-Customers who are not able to pay their bill do not need our help.,PROOR-Customers who do not pay their bills on time should not receive service.,"PROOR-The more detailed our rules and regulations are, the better the level of service we will provide.","PROOR-When we provide service in accordance with rules and regulations, customers will always be satisfied.",PROOR-Decisions must be based on rules and regulations instead of individual customer needs.,PROOR-Without detailed rules and regulations we are not able to provide satisfactory service to customers.,"PROOR-The more we invest in infrastructure maintenance and development, the more satisfied our customers will be.","PROOR-Providing services is predominately a technological activity, not a customer support activity.",PROOR-Customers do not have the knowledge to independently assess the level of service we provide.,PROOR-Providing services in accordance with technical standards and regulations is sufficient to meet customer needs.,MKTOR-Our business objectives are primarily driven by providing customer satisfaction.,MKTOR-We constantly monitor our level of commitment and orientation to serving customer's needs.,MKTOR-Our strategy is based on our understanding of customer needs.,MKTOR-Our business strategies are driven by our beliefs about how we can provide greater value for customers.,MKTOR-We measure customer satisfaction systematically and frequently.,MKTOR-Our top managers from every function regularly meet with our customers.,MKTOR-We freely communicate information about our successful and unsuccessful customer experiences across all business functions.,MKTOR-All of our functions are integrated in serving the needs of our customers.,MKTOR-Everybody understands how everyone in our business can contribute to creating customer value.,MKTOR-We share resources with other business units.
R_1inyNPQjn5iVTMd,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:08:42,2015-05-08 09:08:59,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2zMkiVsQsaS8ZdY,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:11,2015-05-08 09:10:47,1,1,0,0,2,3,3,2,3,3,3,6,1,1,3,2,2,3,3,2,5,6,3,3,4,5,5,5,5,4,3,5,5,3,3
R_OvqyFdQmwcQyXnj,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:31,2015-05-08 09:11:51,1,1,0,0,1,7,2,2,3,2,5,6,1,1,1,1,1,1,4,2,2,5,1,5,3,7,7,7,7,7,1,1,1,4,1
R_3KTUTv8Ay6gIOVv,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:09:00,2015-05-08 09:12:21,1,1,0,1,3,2,2,1,2,2,1,6,1,1,1,1,2,2,2,2,5,6,2,3,3,7,7,6,6,7,5,5,5,5,6
R_26kwySMy1MARS3e,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:44,2015-05-08 09:12:38,1,1,0,1,3,6,3,1,5,4,6,6,2,3,2,1,1,3,2,5,6,2,2,4,3,6,6,5,6,5,2,4,5,6,6
R_28MqfIdnSS65cTz,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:56,2015-05-08 09:13:02,1,1,0,1,3,6,6,4,3,5,1,7,1,1,2,1,1,2,2,3,5,3,2,2,1,7,7,7,7,7,6,6,7,5,7
R_8itNz5Cb7fXrdwl,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:10:15,2015-05-08 09:14:09,1,1,1,0,2,5,4,2,4,5,5,5,4,4,3,1,2,6,4,1,5,4,1,3,7,7,7,7,7,7,6,6,7,7,7
R_3LhWBaGXpb0K9g8,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:08:40,2015-05-08 09:14:15,1,1,0,0,1,5,3,2,2,2,2,3,5,2,2,1,1,3,3,2,2,5,4,3,2,5,6,6,6,7,4,5,6,6,6
R_2awOliok8fBmSep,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:09:19,2015-05-08 09:14:46,1,1,1,1,3,1,1,1,1,3,1,7,5,1,6,1,1,1,3,3,4,5,2,2,5,7,6,6,7,7,4,5,4,6,5
