survey_id,Item,Response
R_eqvaSnwkUPEwKz3,p01,7
R_eqvaSnwkUPEwKz3,p02,7
R_eqvaSnwkUPEwKz3,p03,7
R_eqvaSnwkUPEwKz3,p04,7
R_eqvaSnwkUPEwKz3,p05,7
R_eqvaSnwkUPEwKz3,p06,7
R_eqvaSnwkUPEwKz3,p07,7
R_eqvaSnwkUPEwKz3,p08,7
R_eqvaSnwkUPEwKz3,p09,7
R_eqvaSnwkUPEwKz3,p10,7
R_50zNvLsNRxFctxj,p01,7
R_50zNvLsNRxFctxj,p02,7
R_50zNvLsNRxFctxj,p03,1
R_50zNvLsNRxFctxj,p04,7
R_50zNvLsNRxFctxj,p05,7
R_50zNvLsNRxFctxj,p06,7
R_50zNvLsNRxFctxj,p07,7
R_50zNvLsNRxFctxj,p08,7
R_50zNvLsNRxFctxj,p09,7
R_50zNvLsNRxFctxj,p10,1
R_3env6Rl1UGW2m4R,p01,6
R_3env6Rl1UGW2m4R,p02,2
R_3env6Rl1UGW2m4R,p03,3
R_3env6Rl1UGW2m4R,p04,2
R_3env6Rl1UGW2m4R,p05,5
R_3env6Rl1UGW2m4R,p06,1
R_3env6Rl1UGW2m4R,p07,1
R_3env6Rl1UGW2m4R,p08,1
R_3env6Rl1UGW2m4R,p09,2
R_3env6Rl1UGW2m4R,p10,3
R_ekUQoN4swTW1yFD,p01,7
R_ekUQoN4swTW1yFD,p02,7
R_ekUQoN4swTW1yFD,p03,7
R_ekUQoN4swTW1yFD,p04,7
R_ekUQoN4swTW1yFD,p05,7
R_ekUQoN4swTW1yFD,p06,4
R_ekUQoN4swTW1yFD,p07,4
R_ekUQoN4swTW1yFD,p08,5
R_ekUQoN4swTW1yFD,p09,4
R_ekUQoN4swTW1yFD,p10,2
R_bOZJK1TfWhRdCoB,p01,7
R_bOZJK1TfWhRdCoB,p02,7
R_bOZJK1TfWhRdCoB,p03,7
R_bOZJK1TfWhRdCoB,p04,7
R_bOZJK1TfWhRdCoB,p05,7
R_bOZJK1TfWhRdCoB,p06,7
R_bOZJK1TfWhRdCoB,p07,7
R_bOZJK1TfWhRdCoB,p08,7
R_bOZJK1TfWhRdCoB,p09,6
R_bOZJK1TfWhRdCoB,p10,7
R_0ceqWwHTFkDgdgh,p01,7
R_0ceqWwHTFkDgdgh,p02,7
R_0ceqWwHTFkDgdgh,p03,7
R_0ceqWwHTFkDgdgh,p04,7
R_0ceqWwHTFkDgdgh,p05,7
R_0ceqWwHTFkDgdgh,p06,4
R_0ceqWwHTFkDgdgh,p07,4
R_0ceqWwHTFkDgdgh,p08,4
R_0ceqWwHTFkDgdgh,p09,4
R_0ceqWwHTFkDgdgh,p10,4
R_9FXJesR9vTk2v9r,p01,7
R_9FXJesR9vTk2v9r,p02,7
R_9FXJesR9vTk2v9r,p03,7
R_9FXJesR9vTk2v9r,p04,7
R_9FXJesR9vTk2v9r,p05,7
R_9FXJesR9vTk2v9r,p06,7
R_9FXJesR9vTk2v9r,p07,7
R_9FXJesR9vTk2v9r,p08,7
R_9FXJesR9vTk2v9r,p09,7
R_9FXJesR9vTk2v9r,p10,7
R_6XteSVu0HloWoFT,p01,7
R_6XteSVu0HloWoFT,p02,7
R_6XteSVu0HloWoFT,p03,7
R_6XteSVu0HloWoFT,p04,7
R_6XteSVu0HloWoFT,p05,7
R_6XteSVu0HloWoFT,p06,6
R_6XteSVu0HloWoFT,p07,2
R_6XteSVu0HloWoFT,p08,5
R_6XteSVu0HloWoFT,p09,2
R_6XteSVu0HloWoFT,p10,5
R_42VinyQNyFUVkPj,p01,5
R_42VinyQNyFUVkPj,p02,6
R_42VinyQNyFUVkPj,p03,3
R_42VinyQNyFUVkPj,p04,4
R_42VinyQNyFUVkPj,p05,1
R_42VinyQNyFUVkPj,p06,2
R_42VinyQNyFUVkPj,p07,6
R_42VinyQNyFUVkPj,p08,7
R_42VinyQNyFUVkPj,p09,6
R_42VinyQNyFUVkPj,p10,5
R_0DF4ls1xRj5xpKB,p01,7
R_0DF4ls1xRj5xpKB,p02,6
R_0DF4ls1xRj5xpKB,p03,4
R_0DF4ls1xRj5xpKB,p04,4
R_0DF4ls1xRj5xpKB,p05,7
R_0DF4ls1xRj5xpKB,p06,5
R_0DF4ls1xRj5xpKB,p07,4
R_0DF4ls1xRj5xpKB,p08,2
R_0DF4ls1xRj5xpKB,p09,4
R_0DF4ls1xRj5xpKB,p10,6
R_3KsexqBETt7MxIp,p01,7
R_3KsexqBETt7MxIp,p02,4
R_3KsexqBETt7MxIp,p03,1
R_3KsexqBETt7MxIp,p04,7
R_3KsexqBETt7MxIp,p05,7
R_3KsexqBETt7MxIp,p06,1
R_3KsexqBETt7MxIp,p07,1
R_3KsexqBETt7MxIp,p08,1
R_3KsexqBETt7MxIp,p09,1
R_3KsexqBETt7MxIp,p10,1
R_ahmz8tBKKnH9o7X,p01,7
R_ahmz8tBKKnH9o7X,p02,7
R_ahmz8tBKKnH9o7X,p03,7
R_ahmz8tBKKnH9o7X,p04,7
R_ahmz8tBKKnH9o7X,p05,7
R_ahmz8tBKKnH9o7X,p06,7
R_ahmz8tBKKnH9o7X,p07,7
R_ahmz8tBKKnH9o7X,p08,7
R_ahmz8tBKKnH9o7X,p09,7
R_ahmz8tBKKnH9o7X,p10,7
R_ehSR06WTpWqLv0N,p01,7
R_ehSR06WTpWqLv0N,p02,7
R_ehSR06WTpWqLv0N,p03,7
R_ehSR06WTpWqLv0N,p04,7
