V1,V2,V3,V4,V5,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,suburb,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,In which suburb do you live?,Do you have tap water in your house?,PII-Important:Unimportant,PII-Relevant:Irrelevant,PII-Meaningless:Meaningful,PII-Worthless:Valuable,PII-Not needed:Needed,PII-Boring:Interesting,PII-Exciting:Unexciting,PII-Appealing:Unappealing,PII-Fascinating:Mundane,PII-Involving:Uninvolving,hardship,contact,trap,SERVAQUA-Tap water is available whenever I need it.,SERVAQUA-My tap water is always safe to drink.,SERVAQUA-My tap water is always visually appealing.,SERVAQUA-My tap water always has a pleasant taste.,SERVAQUA-My tap water always has sufficient pressure.,SERVAQUA-My water bills are always accurate.,SERVAQUA-The services provided by my water utility are reliable.,SERVAQUA-My water utility always provides good customer service.,SERVAQUA-I can always depend on the services of my water utility.,SERVAQUA-Employees of my water utility have the knowledge to answer my questions.,SERVAQUA-My water utility consistently provides the services they promise.,SERVAQUA-Employees in my water utility give me prompt service.,"SERVAQUA-When I have problems, my water utility is sympathetic and understanding.",SERVAQUA-My water utility has my best interests at heart.,SERVAQUA-Employees of my water utility are always be willing to help me.,SERVAQUA-My water bills are easy to understand.,SERVAQUA-Employees of my water utility are consistently polite.,SERVAQUA-My water utility provides me with sufficient information.
R_eqvaSnwkUPEwKz3,Default Response Set,Anonymous,NA,NA,0,2015-03-18 09:52:14,2015-03-18 09:53:41,1,1154949235,iZXUO4qzTRS23SsvPItAVQ**,27197,Qual712-0618WaterUtilities,1,NA,87,17358886974853,1,1,1,1,1,7,7,7,7,1,1,1,1,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_8BOAyMxMfu0gkLz,Default Response Set,Anonymous,NA,NA,0,2015-03-18 09:52:14,2015-03-18 09:54:57,1,1276643884,iZXUO4qzTRRByVq90zrhcA**,27197,Qual712-0618WaterUtilities,2,attention,163,NA,1,1,1,5,4,2,3,4,3,4,4,5,3,6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6W5ljiAOy14oRnf,Default Response Set,Anonymous,NA,NA,0,2015-03-18 09:56:05,2015-03-18 09:56:27,1,1277801506,iZXUO4qzTRSbI89TBnFmmg**,27197,Qual712-0618WaterUtilities,2,otherCity,22,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_d5KZUxOzfhQGOmF,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:02:13,2015-03-18 10:02:56,1,1277774343,iZXUO4qzTRRbCIeslj5wnw**,27197,Qual712-0618WaterUtilities,2,otherCity,43,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_50zNvLsNRxFctxj,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:02:20,2015-03-18 10:03:57,1,1251558449,iZXUO4qzTRRT-nYVuf1QHw**,27197,Qual712-0618WaterUtilities,1,NA,97,18810923461273,1,3,1,1,1,1,7,7,7,1,1,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7
R_3env6Rl1UGW2m4R,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:02:36,2015-03-18 10:05:51,1,1132238400,iZXUO4qzTRTdXmenMvpOag**,27197,Qual712-0618WaterUtilities,1,NA,195,17017543124803,1,2,1,2,6,3,2,5,1,7,7,6,5,5,2,1,4,2,1,7,4,4,3,3,7,4,3,4,4,2,2,5,1,4
R_ekUQoN4swTW1yFD,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:04:54,2015-03-18 10:11:01,1,1273490676,iZXUO4qzTRRmHFzeelKx2A**,27197,Qual712-0618WaterUtilities,1,NA,367,19140564833083,1,3,1,1,1,7,7,7,4,4,3,4,6,1,1,1,6,2,2,3,6,5,2,2,3,2,3,2,3,3,2,5,2,3
R_bOZJK1TfWhRdCoB,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:05:04,2015-03-18 10:11:46,1,1277686539,iZXUO4qzTRRAEUQQc-Eiuw**,27197,Qual712-0618WaterUtilities,1,NA,402,19203628653973,1,2,1,1,1,7,7,7,7,1,1,2,1,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_0ceqWwHTFkDgdgh,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:10:17,2015-03-18 10:12:52,1,1230292148,iZXUO4qzTRR3HSe0TBmnJw**,27197,Qual712-0618WaterUtilities,1,NA,155,18491290957243,1,2,1,1,1,7,7,7,4,4,4,4,4,1,1,1,6,6,4,2,6,6,6,4,6,4,6,4,1,1,4,6,4,4
R_9FXJesR9vTk2v9r,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:12:30,2015-03-18 10:18:13,1,1277866624,iZXUO4qzTRQnL4hqgZuenw**,27197,Qual712-0618WaterUtilities,1,NA,343,19206335331523,1,3,1,1,1,7,7,7,7,1,1,1,1,4,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_6XteSVu0HloWoFT,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:16:47,2015-03-18 10:22:14,1,1212125765,iZXUO4qzTRRKg1Y3DgfDIQ**,27197,Qual712-0618WaterUtilities,1,NA,327,18218250220753,1,2,1,1,1,7,7,7,6,6,3,6,3,5,1,1,7,1,7,7,4,4,7,6,7,4,4,4,4,4,4,7,4,7
R_42VinyQNyFUVkPj,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:20:31,2015-03-18 10:23:40,1,1274917875,iZXUO4qzTRTC7J3aq6YEjQ**,27197,Qual712-0618WaterUtilities,1,NA,189,19162015634053,1,1,1,3,2,3,4,1,2,2,1,2,3,4,4,1,6,6,5,5,6,6,6,6,5,6,7,7,6,4,6,6,5,5
R_6zcP36ZbR9jfFdP,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:24:33,2015-03-18 10:24:46,1,1278527720,iZXUO4qzTRTLQP3VZklVMQ**,27197,Qual712-0618WaterUtilities,2,otherCity,13,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0DF4ls1xRj5xpKB,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:20:29,2015-03-18 10:25:00,1,1241413947,iZXUO4qzTRSGQILfOPyWCA**,27197,Qual712-0618WaterUtilities,1,NA,271,18658451596213,1,2,1,1,2,4,4,7,5,4,6,4,2,2,1,1,7,3,2,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4
R_3KsexqBETt7MxIp,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:26:13,2015-03-18 10:31:16,1,1278512048,iZXUO4qzTRQ7n67yyikzRA**,27197,Qual712-0618WaterUtilities,1,NA,303,19216036054243,1,3,1,1,4,1,7,7,1,7,7,7,7,4,1,1,7,4,6,5,7,4,7,4,7,6,6,4,4,4,5,7,4,5
R_ahmz8tBKKnH9o7X,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:28:28,2015-03-18 10:31:23,1,1225214118,iZXUO4qzTRTZ5PUDeaAAKw**,27197,Qual712-0618WaterUtilities,1,NA,175,18414968166343,1,2,1,1,1,7,7,7,7,1,1,1,1,1,2,1,5,4,5,6,5,4,5,7,4,4,4,4,4,4,4,7,4,4
R_ehSR06WTpWqLv0N,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:32:15,2015-03-18 10:35:22,1,1079309888,iZXUO4qzTRQRmEL1VHEL4w**,27197,Qual712-0618WaterUtilities,1,NA,187,16222027589443,1,3,1,1,1,7,7,7,7,3,1,2,1,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
R_0Ca4dkXRUibI4zX,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:30:12,2015-03-18 10:37:18,1,1275887748,iZXUO4qzTRQExhBK842Izg**,27197,Qual712-0618WaterUtilities,1,NA,426,19176592825243,1,1,1,6,2,6,2,3,6,6,6,6,6,7,3,1,5,1,1,1,2,4,5,4,5,4,5,5,4,2,4,5,2,2
R_b9oVgKPyeUCMs29,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:34:16,2015-03-18 10:37:27,1,1269460721,iZXUO4qzTRTyl1k_ag2TXQ**,27197,Qual712-0618WaterUtilities,1,NA,191,19079994609433,1,1,1,2,6,6,6,6,6,3,3,3,2,2,2,1,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,6,5,5
R_42YYs71N42fjvGl,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:38:06,2015-03-18 10:43:43,1,1264613781,iZXUO4qzTRRkyaHq2xry4w**,27197,Qual712-0618WaterUtilities,1,NA,337,19007145101233,1,3,1,2,1,5,6,7,4,3,2,3,2,1,1,1,7,7,6,6,4,6,7,6,6,5,7,6,5,6,4,6,4,7
R_dm7tJK2JUsGrEZD,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:42:32,2015-03-18 10:44:50,1,1278527329,iZXUO4qzTRT7l8QtBKZXCQ**,27197,Qual712-0618WaterUtilities,2,attention,138,NA,1,1,1,1,1,7,7,7,7,1,1,1,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_exJr2XT2oi2JTkF,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:50:12,2015-03-18 10:50:34,1,1277579775,iZXUO4qzTRQRBaUpaGxFzA**,27197,Qual712-0618WaterUtilities,2,otherCity,22,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_4ZtZ5xTXm2ButA9,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:46:23,2015-03-18 10:50:48,1,1212150337,iZXUO4qzTRTnaj46y4DQHQ**,27197,Qual712-0618WaterUtilities,1,NA,265,18218619537913,1,3,1,1,1,7,7,7,5,3,2,2,1,1,1,1,7,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,7,5
