meter_id,read_old,read_new,lat,lon
51319,933,957,21.29857063,105.4454422
51320,625,631,21.29868698,105.4455261
51321,847,863,21.29875183,105.4457626
51322,584,590,21.29869652,105.4458084
51323,747,768,21.29862404,105.4458694
51324,656,665,21.29848289,105.4459076
51325,1083,1102,21.29839516,105.4456177
51326,539,545,21.2983551,105.4456711
51327,1469,1475,21.29837036,105.4456177
51328,556,580,21.29822159,105.4457779
51329,613,624,21.29817963,105.4458466
51330,1029,1040,21.29810524,105.4459381
51331,332,335,21.29801178,105.4459839
51332,1520,1539,21.29797745,105.4460907
51333,297,302,21.29771614,105.4461746
51334,1363,1378,21.29770279,105.4463425
51335,677,683,21.29770279,105.4457092
51336,715,719,21.29772377,105.4455261
51337,590,598,21.29849625,105.4455261
51338,697,715,21.29858017,105.4453049
51339,804,811,21.29860115,105.4453278
51340,1429,1460,21.29860878,105.4453201
51341,881,905,21.29863548,105.4452133
51342,515,518,21.29866409,105.4450684
51377,1168,1183,21.29838181,105.4482422
51378,434,441,21.2983551,105.448288
51379,1441,1483,21.29831886,105.4483261
51380,1132,1147,21.29857445,105.4480057
51381,1276,1285,21.29870987,105.4478378
51382,1867,1885,21.29875183,105.4478073
51471,1637,1656,21.29863739,105.4452438
51472,633,634,21.29859161,105.4449921
51473,1307,1315,21.29892159,105.4447784
51474,854,861,21.29896355,105.44487
51475,1063,1075,21.29852676,105.4444122
51476,9260,9389,21.29875183,105.4445267
51477,1732,1758,21.29865265,105.4448166
51478,1063,1070,21.29888535,105.4446564
51482,868,877,21.29829979,105.4461365
51483,1044,1045,21.29832077,105.4460754
51484,267,270,21.29843521,105.4459534
51485,426,432,21.2985096,105.4458847
51486,1683,1704,21.29870605,105.4457626
51487,2609,2634,21.29876328,105.4458389
51489,4082,4111,21.29870415,105.4458313
51538,3521,3558,21.2991066,105.4467087
51572,1316,1329,21.29781532,105.4488144
51573,809,831,21.29791069,105.4486847
51574,1923,1951,21.29793358,105.4487381
51575,1188,1217,21.29828835,105.4488525
51577,2323,2348,21.29824066,105.4488144
51578,1693,1696,21.29814148,105.448761
51579,2532,2571,21.29811287,105.4487228
51580,1968,1998,21.29805374,105.4485779
51581,1169,1182,21.29792595,105.4486694
51582,682,688,21.2980957,105.4485168
51583,2463,2489,21.29815292,105.4484177
51584,1545,1590,21.29798698,105.4485931
51585,1156,1171,21.29792213,105.4486465
51586,1299,1323,21.29817963,105.4484329
51669,2770,2784,21.29843712,105.447403
51670,826,831,21.29852486,105.447525
51671,535,546,21.29864311,105.4475784
51673,713,725,21.29853058,105.4474792
51674,800,810,21.29867172,105.4475708
51675,969,985,21.298666,105.4475937
51676,337,341,21.29869652,105.4476089
51677,1313,1327,21.29904556,105.4474945
51678,695,697,21.29852676,105.447464
51679,1284,1305,21.29889107,105.4476471
51681,1005,1037,21.29765129,105.4464188
51698,1136,1155,21.29765892,105.4463882
51699,675,676,21.29769325,105.4462509
51700,994,1007,21.29905319,105.4474792
52649,5324,5359,21.29919243,105.4473724
52763,479,487,21.29803658,105.4460678
53446,603,614,21.29762459,105.4488373
53447,29,29,21.29761124,105.4488449
53448,1487,1516,21.29753113,105.4488831
53449,489,489,21.29738045,105.4489441
53450,470,477,21.29732513,105.4490204
53451,863,868,21.29722404,105.4491119
57082,872,900,21.29818726,105.4483566
67407,678,685,21.29730415,105.4490585
69448,1056,1076,21.29863167,105.4449844
70763,679,704,21.29847908,105.4444122
71499,217,217,21.29863358,105.4479141
71500,997,1022,21.29847336,105.4481201
71501,972,991,21.29861259,105.4479446
72456,89,252,21.29770088,105.4488297
73553,275,284,21.29863548,105.445137
75535,1031,1048,21.29772377,105.4455261
76769,2357,2370,21.29858398,105.4451675
76770,341,345,21.29767036,105.4458694
76771,276,280,21.29915428,105.4466553
86222,975,982,21.29857445,105.4480057
88316,949,982,21.29902458,105.4455795
94056,3270,3270,21.29864883,105.4452133
94833,233,249,21.29859543,105.4451981
97255,4732,4877,21.29518509,105.448143
104138,116,129,21.29860115,105.4452515
108645,2214,2743,21.29449081,105.4489059
109039,959,966,21.29852676,105.4454803
116391,80,99,21.29778671,105.4464645
120142,8,32,21.29893494,105.4448395
